"employee_id","fullname","iq","gtq","education_level","mbti","final_match_rate","pillar_sea","pillar_qdd","pillar_vcu","pillar_lie","s_strategic","s_learner","s_achiever","s_relator","s_analytical","years_of_service"
"EMP100086","Rani Syahputra","110","36","S2","ISTJ","49.023076923076930000","4","4","5","4","0","0","0","1","0","1.9166666666666667"
"EMP100087","Rizka Ananda","109","25","S2","ENFP","40.663247863247870000","1","1","1","1","0","1","0","0","0","1"
"EMP100088","Nadia Saputra Mahendra","83","29","S2","ISFP","46.618803418803430000","3","3","4","5","0","0","0","1","0","3.166666666666667"
"EMP100089","Umar Simanjuntak","108","28","S1","UNKNOWN","52.716129032258080000","3","4","2","3","0","1","0","0","0","4.666666666666666"
"EMP100090","Maya Pratomo","108","29","S1","ESTJ","52.592307692307680000","4","5","4","4","1","0","1","1","0","2.25"
"EMP100091","Oka Candra Firmansyah","102","23","S2","ENFP","46.900854700854690000","5","5","5","5","0","1","0","1","0","0.8333333333333333"
"EMP100092","Ahmad Indrawan","108","28","S1","ENTJ","47.835483870967750000","1","2","2","1","0","0","0","0","1","5.666666666666666"
"EMP100093","Nadia Lestari Utami","93","24","S1","ENTP","50.700000000000000000","3","1","1","2","0","1","1","0","0","4.75"
"EMP100094","Nadia Utama Yulianto","95","16","S1","INFJ","39.2181968569065500000000","1","1","2","1","0","0","0","0","0","2.75"
"EMP100095","Fitri Pamungkas","108","27","S2","ISFJ","49.755583126550880000","2","2","3","2","0","0","1","0","0","3.416666666666667"
"EMP100096","Rama Dharma Wibowo","108","20","S2","ENTJ","50.644444444444440000","3","3","2","3","0","1","0","0","0","6.416666666666666"
"EMP100097","Valdo Subekti","111","32","S1","INFJ","52.399999999999990000","5","5","4","5","0","0","0","0","1","5.333333333333333"
"EMP100098","Indra Hidayat","128","17","S1","ENTJ","46.3745519713261600000000","3","5","5","5","0","0","0","0","0","4.75"
"EMP100099","Tania Suharto","111","27","S1","ESTJ","50.4461538461538300000000","1","2","3","2","0","0","0","0","0","3.8333333333333326"
"EMP100100","Intan Rachman Suharto","108","27","D3","UNKNOWN","53.619354838709670000","3","3","3","4","0","0","0","1","0","4.583333333333333"
"EMP100101","Yoga Pratomo","81","26","SMA","ESTJ","47.7854700854700900000000","3","3","4","4","0","0","0","0","0","4.25"
"EMP100102","Dinda Permadi","111","19","S2","INTJ","41.1529914529914400000000","3","3","3","3","0","0","0","0","0","1.8333333333333333"
"EMP100103","Ayu Ginting","105","26","D3","ESTJ","46.3649572649572800000000","5","5","5","5","0","0","0","0","0","2.666666666666667"
"EMP100104","Budi Pratama","102","23","SMA","ISTP","53.958422939068110000","4","4","4","5","0","1","0","0","0","6.75"
"EMP100105","Maya Yulianto","111","27","SMA","ENFJ","46.631761786600480000","1","2","3","3","0","0","1","0","0","1.3333333333333333"
"EMP100106","Valdo Wijaya Wijaya","102","29","SMA","ENFJ","50.608602150537620000","4","5","3","5","0","1","0","0","0","5.333333333333333"
"EMP100107","Dian Fauziah","104","41","SMA","ISFP","46.3413013509787600000000","3","2","3","2","0","0","0","0","0","3.75"
"EMP100108","Dinda Erlangga Handayani","129","27","S1","ISTP","55.800000000000010000","5","3","5","5","0","1","0","0","0","4.833333333333333"
"EMP100109","Dinda Wibowo","91","16","SMA","ESFP","47.2111111111111300000000","3","3","3","4","0","0","0","0","0","4.583333333333333"
"EMP100110","Citra Hartanto","97","37","S2","INFP","50.635042735042720000","3","3","3","3","0","0","0","1","0","3.8333333333333326"
"EMP100111","Rendra Herlambang","83","22","S2","ENFJ","49.361538461538460000","3","3","3","3","0","0","0","1","0","3.6666666666666665"
"EMP100112","Adit Mahardika Pratama","132","25","D3","ENTP","53.478632478632470000","3","3","2","2","1","0","0","0","0","3"
"EMP100113","Iman Rachman Rahmawati","117","28","D3","INTJ","51.9000000000000000000000","3","4","5","4","0","0","0","0","0","4.583333333333333"
"EMP100114","Vania Fadillah Fauziah","108","27","SMA","INFJ","46.591066997518610000","3","3","3","3","0","0","1","1","0","1.25"
"EMP100115","Satya Yudhistira Lukman","90","23","S2","ENFJ","45.495726495726500000","2","1","2","1","0","1","0","0","0","3.416666666666667"
"EMP100116","Bayu Ridwan","108","28","S1","ISFP","52.886352357320100000","3","4","4","3","0","0","0","1","0","4.166666666666666"
"EMP100117","Prasetyo Gunawan","86","25","S1","INFJ","53.833333333333320000","1","1","1","1","1","0","1","1","0","3.25"
"EMP100118","Julia Pramudita Hartanto","108","32","S1","ISTJ","48.600000000000010000","3","4","3","4","0","0","0","1","0","4.416666666666666"
"EMP100119","Iman Ginting","102","29","S1","INTJ","38.046071133167912000","2","2","3","3","1","0","0","0","0","0.0833333333333333"
"EMP100120","Iman Maulida","127","29","D3","UNKNOWN","55.654838709677400000","4","5","5","4","0","0","1","0","0","4.333333333333333"
"EMP100121","Bayu Hidayat","84","21","S1","INFJ","54.133333333333330000","5","5","4","5","0","0","0","0","1","4.666666666666666"
"EMP100122","Rizki Simanjuntak","108","28","S1","ESTP","34.4230769230769300000000","3","3","3","3","0","0","0","0","0","0.8333333333333333"
"EMP100123","Kurnia Jatmiko Permadi","107","27","SMA","ESTJ","46.8089605734767200000000","2","2","2","2","0","0","0","0","0","4.5"
"EMP100124","Maya Nabila Salsabila","111","27","D3","ESFP","51.999999999999970000","3","3","3","3","0","0","0","0","1","4.333333333333333"
"EMP100125","Nabila Lestari Santoso","108","30","D3","ENTP","53.853846153846140000","4","4","4","3","0","1","0","0","0","3.75"
"EMP100126","Vania Siregar","120","24","S2","ISFP","44.8623655913978500000000","1","1","2","1","0","0","0","0","0","5.583333333333333"
"EMP100127","Lestari Gunawan","108","28","S2","UNKNOWN","40.000000000000010000","2","3","3","2","0","0","0","0","1","2.166666666666667"
"EMP100128","Ahmad Siregar","117","38","S1","ESTP","45.4000000000000000000000","2","2","2","1","0","0","0","0","0","4.833333333333333"
"EMP100129","Dian Utama Kusuma","109","28","S2","ENTP","39.3401985111662600000000","3","4","3","4","0","0","0","0","0","1.4166666666666667"
"EMP100130","Citra Rahmawati","84","24","SMA","INTP","50.699999999999990000","5","3","4","4","0","1","0","0","0","5.666666666666666"
"EMP100131","Ayunda Adi Hartanto","102","24","S2","ESTP","49.448387096774200000","4","4","4","4","0","0","0","0","1","4.833333333333333"
"EMP100132","Maya Ramadhan","118","33","S1","ISFP","50.5558312655086700000000","4","4","4","4","0","0","0","0","0","3.8333333333333326"
"EMP100133","Rendra Handayani","104","39","S2","ENTP","43.1470085470085600000000","3","3","4","3","0","0","0","0","0","2.5"
"EMP100134","Rifqi Wijaya","119","22","D3","INTJ","50.788888888888890000","3","3","3","2","0","1","0","0","0","5.083333333333333"
"EMP100135","Indra Wijaya Ridwan","113","27","D3","INFP","44.6923076923077000000000","3","3","4","2","0","0","0","0","0","1.1666666666666667"
"EMP100136","Maya Pradana","131","26","D3","ESFJ","51.206810035842280000","3","4","4","4","0","0","0","1","0","6.333333333333333"
"EMP100137","Rizky Jatmiko Hasibuan","125","16","D3","ESFJ","47.4523297491039300000000","4","3","4","3","0","0","0","0","0","10.333333333333332"
"EMP100138","Rani Zulfikar","108","28","SMA","ISFJ","48.789826302729530000","4","4","3","4","0","0","0","0","1","3.5"
"EMP100139","Nadia Herlambang","108","28","S1","ENTP","57.500000000000010000","2","3","2","2","1","0","1","0","0","6.5"
"EMP100140","Yuni Siregar","111","33","SMA","ISFP","47.5999999999999900000000","3","4","5","4","0","0","0","0","0","4.5"
"EMP100141","Fitri Utami","124","29","S2","ENFJ","46.9096774193548300000000","4","4","3","4","0","0","0","0","0","5.583333333333333"
"EMP100142","Indra Putra","111","27","D3","ESTP","52.999999999999990000","4","3","2","2","0","0","0","1","0","5.333333333333333"
"EMP100143","Nadia Pramudita Wibowo","122","21","S1","ESFP","40.097435897435880000","1","0","1","1","0","1","0","0","0","1.8333333333333333"
"EMP100144","Bella Nabila Purnama","108","23","S1","ENFP","46.5701681830714200000000","5","5","3","4","0","0","0","0","0","1.6666666666666667"
"EMP100145","Novi Purnama","107","31","SMA","INFP","49.1290598290598300000000","4","4","4","3","0","0","0","0","0","3.416666666666667"
"EMP100146","Maya Wijaya","120","21","D3","INTP","49.1974358974358900000000","3","4","3","4","0","0","0","0","0","2.916666666666667"
"EMP100147","Hana Ridwan","108","34","S1","ESFJ","47.688089330024820000","2","2","2","1","0","0","0","1","1","0.5833333333333333"
"EMP100148","Galih Zulfikar Hasibuan","120","34","SMA","INTP","45.9000000000000000000000","3","2","2","3","0","0","0","0","0","8.333333333333332"
"EMP100149","Teguh Saputra Hasibuan","122","26","SMA","ESTJ","48.087455197132610000","3","3","3","3","1","0","0","0","0","5"
"EMP100150","Hadi Hasibuan","125","26","S2","ENFP","50.977777777777780000","5","4","5","5","0","1","0","0","0","5.75"
"EMP100151","Wahyu Permadi","123","15","SMA","INTP","42.5102564102564200000000","3","3","4","3","0","0","0","0","0","3.5"
"EMP100152","Satya Siregar","93","22","S1","UNKNOWN","49.5555555555555500000000","3","3","3","3","0","0","0","0","0","4.916666666666666"
"EMP100153","Arif Herlambang","111","31","S2","ENFJ","53.800000000000000000","4","3","3","3","0","0","0","0","1","5.5"
"EMP100154","Kurnia Maulida","117","26","SMA","ESFP","48.942293906810050000","4","3","5","4","0","1","0","0","0","3.25"
"EMP100155","Citra Jatmiko Siregar","111","27","SMA","ENTP","51.316129032258070000","1","1","3","2","0","0","0","0","1","6.166666666666666"
"EMP100156","Yoga Anugrah Lestari","80","29","SMA","ESFJ","50.757347670250910000","3","3","4","4","0","0","0","1","0","5.5"
"EMP100157","Maya Zulfikar Purnama","118","24","D3","ISTJ","41.256658395368090000","5","4","3","4","1","0","0","0","0","1.25"
"EMP100158","Lestari Syahputra","137","23","S1","INTJ","44.8572649572649500000000","3","3","4","3","0","0","0","0","0","1.6666666666666667"
"EMP100159","Nabila Mahendra","108","29","D3","INFJ","53.453846153846140000","5","4","3","4","0","0","1","0","0","3.75"
"EMP100160","Nugroho Rachman Salsabila","133","25","SMA","INTP","52.5555555555555700000000","4","3","3","2","0","0","0","0","0","6.916666666666666"
"EMP100161","Wulan Saputra Pratama","113","20","S1","UNKNOWN","41.0767025089605700000000","1","2","1","1","0","0","0","0","0","6.5"
"EMP100162","Eko Adi Permadi","138","22","SMA","ENTP","48.696581196581210000","5","4","4","4","1","1","0","0","0","3.166666666666667"
"EMP100163","Oktavia Pramudita Sinaga","137","28","S2","ESTP","49.5000000000000000000000","2","1","1","1","0","0","0","0","0","6.166666666666666"
"EMP100164","Wahyu Iqbal Pratomo","111","34","S1","ENFJ","54.967741935483870000","3","4","3","3","0","0","1","0","0","6.75"
"EMP100165","Kurnia Nugroho","123","29","S2","ENTP","43.0357320099255600000000","4","4","3","4","0","0","0","0","0","1.5"
"EMP100166","Wahyu Yulianto","111","27","S2","ISFP","48.538461538461540000","3","2","2","2","1","0","0","0","0","2.833333333333333"
"EMP100167","Eko Zulfikar","119","24","S2","ESTP","46.365591397849460000","2","3","3","3","0","0","0","0","1","7"
"EMP100168","Wahyu Rachman Utami","114","34","S1","ISTJ","51.699999999999990000","3","3","3","3","1","0","0","1","0","6.416666666666666"
"EMP100169","Intan Permadi","101","20","S1","ESFP","49.216845878136200000","2","1","2","3","0","1","0","0","0","4.583333333333333"
"EMP100170","Dinda Wijaya Zulfikar","111","27","D3","INFJ","48.300000000000010000","3","2","2","3","0","0","0","1","0","8.583333333333332"
"EMP100171","Nadia Yulianto","136","22","S2","ISFJ","50.350427350427350000","4","3","4","4","1","0","0","0","0","3.6666666666666665"
"EMP100172","Dinda Ridwan","115","22","S2","ENTP","41.2638268541494500000000","3","3","2","2","0","0","0","0","0","1.25"
"EMP100173","Ahmad Wijaya","108","27","S2","INTP","46.6645161290322400000000","2","2","3","2","0","0","0","0","0","6.75"
"EMP100174","Ayunda Nabila Ramadhan","108","27","S2","ESFJ","49.9999999999999900000000","1","2","1","1","0","0","0","0","0","6.166666666666666"
"EMP100175","Budi Hasibuan","133","25","SMA","ESFJ","41.9401709401709300000000","2","3","2","2","0","0","0","0","0","2.333333333333333"
"EMP100176","Fajar Firmansyah","134","38","D3","ENTP","38.6714640198511000000000","2","2","3","2","0","0","0","0","0","0.8333333333333333"
"EMP100177","Rama Mahardika Wijaya","86","28","S2","INTJ","47.441301350978780000","2","4","4","3","1","1","0","1","0","1.5833333333333333"
"EMP100178","Nurlita Siregar","106","27","S1","ESFJ","50.088888888888890000","2","1","2","2","0","0","0","1","0","4.666666666666666"
"EMP100179","Andi Santoso","108","28","S2","ESTJ","52.784615384615400000","3","4","5","3","1","1","0","0","0","3.416666666666667"
"EMP100180","Evi Kurniawan","101","42","SMA","INTJ","53.485552798456020000","4","2","2","3","0","0","0","1","0","3.6666666666666665"
"EMP100181","Dewi Mahardika Salsabila","111","27","SMA","ESFJ","54.900000000000000000","4","3","3","4","0","0","0","0","1","5.25"
"EMP100182","Joko Kusuma Maulana","111","27","S1","ENTP","51.923076923076920000","5","3","3","4","1","0","0","0","0","4.083333333333333"
"EMP100183","Valdo Herlambang","108","28","SMA","INTP","39.5769230769230800000000","4","3","5","4","0","0","0","0","0","1.3333333333333333"
"EMP100184","Rizka Pamungkas","113","26","S2","ENTJ","48.035842293906810000","3","1","2","2","0","0","0","0","1","5.166666666666666"
"EMP100185","Yuni Anugrah Subekti","108","28","S2","INFJ","46.699999999999990000","3","3","2","4","0","0","0","0","1","4.916666666666666"
"EMP100186","Rizki Halim","128","37","S1","ENTP","49.4580645161290300000000","3","3","3","3","0","0","0","0","0","4.916666666666666"
"EMP100187","Ayu Tamba","88","23","S1","ENFP","50.299999999999990000","3","3","3","2","0","1","0","0","0","3.25"
"EMP100188","Novi Pramudita Syahputra","92","26","S2","INFP","42.0350427350427300000000","3","1","3","3","0","0","0","0","0","0.5833333333333333"
"EMP100189","Andi Ganesha Hartanto","129","25","SMA","ENFJ","40.2587813620071600000000","3","3","2","3","0","0","0","0","0","6.5"
"EMP100190","Kartika Santoso","112","19","S2","INFP","46.4760683760683600000000","4","3","4","6","0","0","0","0","0","3.75"
"EMP100191","Cahyo Wijaya","138","18","S1","ENFJ","43.1580645161290300000000","1","1","1","1","0","0","0","0","0","5.083333333333333"
"EMP100192","Yoga Handayani","111","34","S2","INTP","43.3870967741935400000000","1","2","1","1","0","0","0","0","0","7.166666666666666"
"EMP100193","Kurnia Anugrah Kurniawan","134","30","SMA","INFJ","44.0818858560794200000000","3","3","4","3","0","0","0","0","0","3.166666666666667"
"EMP100194","Arif Hasibuan","109","34","D3","ISFP","51.794292803970240000","4","4","4","4","0","1","0","0","0","3.416666666666667"
"EMP100195","Fitri Purnama","124","31","SMA","ENFJ","45.189826302729530000","3","4","2","2","0","1","0","0","0","2.416666666666667"
"EMP100196","Kurnia Situmorang","108","28","SMA","ISFJ","42.1384615384615300000000","1","1","1","1","0","0","0","0","0","2.833333333333333"
